Plataforma,Total de vendas
TurboGrafx-16,0.16
Atari 2600,86.4799999999999
Sega Genesis,28.35
Playstation Vita,61.61000000000019
Nintendo DS,817.8899999999641
Playstation,727.5599999999721
Nintendo Wii U,81.79000000000029
Neo Geo,1.4400000000000004
Playstation Portable,291.6599999999932
Nintendo 3DS,246.17000000000002
Playstation 3,949.3899999999807
GameBoy,254.42999999999984
Xbox,251.5699999999999
Nintendo Entertainment System,251.04999999999987
GameBoy Advanced,304.98999999999404
Xbox One,141.10000000000028
Sega CD,1.8600000000000003
Computador,253.88999999999817
Super Nintendo Entertainment System,200.04000000000016
Xbox 360,969.2999999999766
Playstation 4,278.15999999999747
Nintendo GameCube,196.72999999999917
Panasonic 3DO,0.1
Dreamcast,15.949999999999998
Nintendo 64,218.01000000000028
WS,1.42
PCFX,0.03
Sega Saturn,33.59000000000002
Game Gear,0.04
Nintendo Wii,909.1999999999769
Playstation 2,1233.5599999999133
